A0_V0.2_V0.1;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;PL de marchandises;V0.2.6.1.3;PL de marchandises électriques;V0.2.6.1.3.4;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;Bus et cars;V0.2.6.1.4;Bus et cars diesel;V0.2.6.1.4.1;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;2,111863772;2,285368093;2,342691696;2,436346989;2,418805725;2,377455612;2,425485682;2,471358646;2,460334946;2,369562225;2,412548139;2,362781152;2,335772457;2,377385049;2,40879757;2,463323304;2,499273702;2,538642818;2,575168338;2,57638392;2,614284227;2,638518795;2,637456116;2,676798217;2,655562725;2,666034427;2,653979304;2,594402053;2,523753198;2,451326153;1,767500648;1,925703167;2,089701215
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;Bus et cars;V0.2.6.1.4;Bus et cars essence;V0.2.6.1.4.2;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,002701682;0,002708356;0,002706044;0,00270511;0,002874701;0,002891734;0,002822052;0,002836136;0,003006757;0,003715144;0,004374983;0,004581508;0,00421466;0,003979258;0,003535071;0,003091488;0,003264273;0,003133226;0,002635268;0,002530323;0,00213875;0,00175381;0,001656867;0,001699259;0,0014677;0,001684075;0,001653892;0,001633903;0,001670863;0,001047424;0,001165133;0,001202527;0,001310826
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;Bus et cars;V0.2.6.1.4;Bus et cars GNV;V0.2.6.1.4.3;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,000293183;0,000283129;0,000284323;0,002086986;0,001219399;0,000794037;0,00078083;0,000614347;0,000608951;0,00061603;0,001293747;0,018204397;0,018238321;0,027837773;0,031346107;0,032166432;0,043164101;0,052232797;0,063416495;0,063722973;0,067650996;0,153308909;0,167106531;0,190734527;0,225435244;0,239193614;0,265253278;0,298510376;0,355770427;0,434885433;0,526228028;0,719133222;0,708499267
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;Bus et cars;V0.2.6.1.4;Bus et cars électriques;V0.2.6.1.4.4;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;Deux roues;V0.2.6.1.5;Deux roues essence;V0.2.6.1.5.1;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,659495199;0,668613037;0,687303138;0,85875366;0,750667616;0,653177573;0,652823183;0,789806001;0,970541654;0,99357565;1,074714325;1,153133696;1,246068633;1,22542301;1,2825626;1,288458486;1,260890073;1,260983184;1,273535059;1,321794737;1,293405356;1,303535767;1,29208191;1,28927418;1,28951712;1,294391929;1,303274825;1,294849823;1,291535379;1,292087187;1,083219166;1,096384859;1,209812931
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;Deux roues;V0.2.6.1.5;Deux roues diesel;V0.2.6.1.5.2;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0,005745409;0,015754871;0,023725556;0,03178518;0,039250437;0,046545766;0,051648882;0,055331496;0,056691401;0,05785215;0,0581094;0,057230491;0,055750613;0,055596463;0,058201726;0,062301898;0,067676075;0,074471924;0,082228444;0,087999353;0,093456877;0,091837365;0,086863185;0,084557761;0,081384413;0,081988596;0,083298602;0,083827961;0,083404789;0,084050088;0,083658692
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;Deux roues;V0.2.6.1.5;Deux roues électriques;V0.2.6.1.5.3;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Autres transports;V0.2.6.2;Transport ferroviaire;V0.2.6.2.1;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;1,093976556;1,059687739;1,009070913;0,933689941;0,867017241;0,828374288;0,802249475;0,794629737;0,756258918;0,764065934;0,781742311;0,747535161;0,772980836;0,743719695;0,735923799;0,670954943;0,649616541;0,614680532;0,62577558;0,574763265;0,549368517;0,562587511;0,542673161;0,538133998;0,465527146;0,514668598;0,435619115;0,456836058;0,410159044;0,409600262;0,348265491;0,389060205;0,383739919
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Autres transports;V0.2.6.2;Transport fluvial de marchandises;V0.2.6.2.2;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,127923857;0,141320448;0,14802314;0,095536116;0,097159784;0,096414031;0,098191112;0,094098145;0,103418132;0,122501364;0,123061097;0,1064081;0,115118176;0,118228541;0,122008906;0,135568768;0,13531276;0,127171756;0,129662254;0,138189725;0,144523496;0,139173842;0,132515336;0,132404374;0,127149512;0,12139037;0,109815989;0,103780065;0,109933358;0,120628132;0,111319594;0,11789065;0,120989719
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Autres transports;V0.2.6.2;Transport maritime domestique;V0.2.6.2.3;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;1,731489049;1,888010149;1,72250981;1,926074981;1,834948331;1,778580031;1,741089378;1,773388157;1,805944197;1,924430825;1,859056173;1,984708985;1,956501302;2,004233389;1,857967479;1,825988018;1,698736605;1,637860124;1,572013334;1,612056646;1,574191533;1,646323602;1,683052907;1,575342975;1,596340457;1,569810012;1,52715687;1,676547605;1,590967536;1,601945778;1,626685147;1,745502028;1,718473241
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Autres transports;V0.2.6.2;Transport autres navigations;V0.2.6.2.4;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,665266526;0,684348488;0,703840164;0,736895756;0,752551075;0,790291486;0,80957813;0,832577578;0,888480622;0,910037305;0,846503565;0,906504276;0,972788436;0,988684985;1,011675214;0,961255826;0,956271246;0,972934827;0,941743176;0,957411862;0,966550255;0,955279507;1,011058315;1,019242459;1,023637485;1,026037399;1,033807888;1,031992459;1,033124144;1,046184626;1,041759428;1,042332999;1,133182694
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Autres transports;V0.2.6.2;Transport aérien français;V0.2.6.2.5;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;4,161991182;4,262583736;4,20705713;4,197627751;4,376623412;5,001571527;5,549894885;5,688096865;5,875251523;6,033150239;6,202405459;5,82844463;5,633218774;5,118715109;5,173100338;4,998989914;4,764675638;4,684990059;4,704334583;4,645788148;4,593934331;4,64136397;4,663816808;4,599926909;4,417983603;4,408177154;4,550739804;4,702656864;4,942995505;5,016641174;3,075024843;3,796590254;4,741169164
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;UTCATF;V0.2.7;Forêts;V0.2.7.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;-36,17220247;-37,78466616;-37,66740955;-42,50485513;-42,84216996;-45,08474316;-51,94419801;-51,29935335;-52,18890637;-55,22055854;-35,8571771;-49,581559;-59,37335231;-62,43865044;-64,78906472;-65,39407245;-66,83457381;-69,05478993;-70,42297224;-62,13412035;-61,29709117;-61,13287444;-62,75805083;-71,60559824;-60,07725634;-56,35105546;-46,99664121;-36,1963798;-31,41848503;-28,76181208;-31,57812483;-27,7331406;-27,59682722
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;UTCATF;V0.2.7;Terres cultivées;V0.2.7.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;25,70345693;23,88695664;23,10050575;22,4460605;21,62659809;19,93685883;18,6606214;17,09785135;16,16494642;14,46907966;12,50209409;10,79511273;9,391741269;8,276414226;9,550966504;10,79098767;13,49219254;15,75790514;17,49150696;17,44664894;16,06652313;14,95091275;12,81333604;13,54611483;11,80550314;11,89332284;9,634952323;9,312135279;8,353256566;7,32765541;6,843186549;7,66759612;7,66759612
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;UTCATF;V0.2.7;Prairies;V0.2.7.3;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;-6,896384436;-4,413175008;-3,979016735;-3,212004694;-2,429988925;-1,186961329;-0,008131293;0,563608018;1,009307706;1,585216142;1,868465457;1,989315076;1,870718936;1,279205312;1,105593717;0,856287314;0,767376405;2,241287269;1,77906569;1,855212203;1,590131762;1,753025398;0,583064013;6,949766286;2,184039779;2,044233094;1,746961731;1,079683168;-1,316667648;-1,516707563;-1,34002838;-1,344794378;-1,344794378
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;UTCATF;V0.2.7;Zones humides;V0.2.7.4;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,298701426;0,315709036;0,322222864;0,328676134;0,336030243;0,341761814;0,349902853;0,361951622;0,368670317;0,379282633;0,375034567;0,3784541;0,380486138;0,392652412;0,402784219;0,405656001;0,40009555;0,432848995;0,430549044;0,459964579;0,467278395;0,466432028;0,453277079;0,612926474;0,61076418;0,658642642;0,647134524;0,650060275;0,608311838;0,577065035;0,54884498;0,521899053;0,521899053
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;UTCATF;V0.2.7;Zones artificialisées;V0.2.7.5;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;5,090574155;5,616178006;6,111434396;5,693551683;5,092282577;4,581752787;4,596697952;4,573367453;4,527791976;4,54290825;3,998894371;5,606911315;6,07805021;6,204450749;6,179865054;6,018563619;5,030616747;6,180921203;5,748207605;5,366662211;5,143990527;4,896141129;4,330465112;6,792718329;5,988452105;5,800484329;5,499267537;5,276729548;4,741161347;4,506825303;4,579257125;4,829325685;4,829325685
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;UTCATF;V0.2.7;Autres terres;V0.2.7.6;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,095842595;0,095691915;0,094166873;0,093332465;0,091537945;0,096246163;0,096313058;0,099291722;0,102545305;0,103839597;0,103609456;0,10794083;0,106714103;0,107164994;0,107570072;0,106248823;0,104496022;0,106559356;0,103046255;0,102468444;0,103983559;0,102090815;0,10032219;0,115723123;0,115287186;0,107725318;0,101855487;0,096554077;0,09656334;0,093442773;0,092942536;0,092768031;0,092768031
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;UTCATF;V0.2.7;Produits bois;V0.2.7.7;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;-5,239614461;-4,964015143;-3,000370255;-1,818697335;-2,710063731;-3,090239209;-2,558824401;-3,17437911;-3,729603309;-3,881652582;-4,494636277;-4,18738521;-3,076924196;-2,951940477;-3,587580873;-4,147510102;-4,296416738;-4,746923712;-3,503363578;-1,395982278;-3,21129796;-3,891721099;-2,766751976;-2,223573571;-2,057745552;-1,483843367;-1,132731336;-1,11589669;-1,01319132;-0,743711851;-1,052103263;-1,36794272;-1,36794272
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;UTCATF;V0.2.7;Barrages;V0.2.7.8;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;3,766426667;4,238737;3,296358;2,596724333;2,074157;1,681189667;1,383484667;1,156096667;0,980934667;0,844694;0,737785333;0,653069667;0,585287333;0,530524333;0,485932667;0,449260333;0,418903333;0,393566667;0,372316333;0,354381667;0,339133333;0,326146333;0,315047667;0,305538333;0,297337667;0,290272667;0,284170333;0,27916;0,27916
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;Transports;V0.2.8.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;16,91389387;16,86401333;18,06063608;18,11690363;17,66732345;17,93494421;18,99941774;20,07382663;21,66946342;23,10372308;23,90572402;22,55147306;22,39653253;23,20891267;25,42160456;24,83201712;26,05426409;26,93109114;25,92076491;24,47725551;24,31968595;25,73534876;24,83476957;24,01582932;23,11359704;23,38968985;22,80393288;23,39537021;24,67768267;24,7881545;11,46195351;11,99620576;15,34996018
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;Emissions naturelles;V0.2.8.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;3,260114963;3,278968924;3,378075643;3,293268986;3,334383438;3,339360629;3,344145102;3,379821772;3,517638223;3,547993722;3,689616016;3,717858142;4,37369105;3,604617287;3,512929907;3,553259826;3,706149717;3,74443745;3,814844732;3,885167157;3,91769835;3,761001639;3,789457625;3,801835575;3,846838435;3,85117428;3,877969565;3,883369534;3,932994261;3,990577441;3,922769845;3,899573265;3,899573265
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;Transports;V0.2.8.1;Transport fluvial international - hors total national;V0.2.8.1.1;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,086851515;0,083071732;0,092397053;0,067949616;0,075942755;0,083099713;0,07811703;0,075798792;0,082506818;0,081239945;0,092719301;0,092403918;0,089628144;0,084327147;0,092349282;0,093963181;0,096277432;0,091965687;0,087687141;0,076274487;0,087751554;0,079057497;0,076650239;0,078522295;0,077594893;0,07512121;0,070215838;0,07204112;0,064672812;0,070800075;0,058485101;0,057664186;0,059180042
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;Transports;V0.2.8.1;Transport maritime international - hors total national;V0.2.8.1.2;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;7,948906338;8,250461459;7,987965254;7,750177862;6,898978676;7,110864239;7,476659028;8,212582196;9,062367953;9,165797623;9,465139728;8,007690655;7,755248344;8,412841507;9,60223916;8,771359638;9,122359105;9,369363615;8,150948903;8,156756624;7,907525525;8,484315816;8,015840534;7,305130658;6,219083406;5,531454675;5,252080117;5,564552623;6,285312929;5,518594145;3,092438127;3,519429041;3,824513562
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;Transports;V0.2.8.1;Transport aérien international - hors total national;V0.2.8.1.3;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;8,87746822;8,529338851;9,979298171;10,29783875;10,69154;10,7396502;11,4431926;11,7836779;12,52307409;13,85530131;14,3459106;14,45005531;14,54975975;14,71093163;15,72637433;15,96562465;16,8345579;17,46847826;17,68084529;16,24272689;16,32312529;17,17075901;16,74057935;16,63111871;16,81528644;17,78144476;17,47988233;17,75718065;18,32608287;19,19762923;8,310186555;8,418231909;11,46538595
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;Transports;V0.2.8.1;Autres engins hors total national;V0.2.8.1.4;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,0006678;0,00114129;0,0009756;0,000937395;0,00086202;0,001330065;0,00144909;0,001767735;0,001514565;0,0013842;0,001954395;0,00132318;0,0018963;0,000812385;0,00064179;0,00106965;0,00106965;0,00128358;0,00128358;0,00149751;0,00128358;0,00121644;0,001699448;0,001057658;0,001632308;0,001669208;0,001754595;0,001595813;0,00161406;0,001131053;0,000843728;0,000880628;0,000880628
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;Emissions naturelles;V0.2.8.2;Végétation (dont polluants des feux de forêt);V0.2.8.2.1;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;Emissions naturelles;V0.2.8.2;Eaux;V0.2.8.2.2;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;3,236918383;3,255772344;3,24459326;3,293268986;3,334383438;3,339360629;3,344145102;3,379821772;3,384155839;3,414511338;3,422651249;3,450893375;3,472097722;3,477041204;3,483827027;3,510768895;3,625238421;3,687964134;3,7101124;3,746149049;3,761001639;3,761001639;3,789457625;3,801835575;3,823641856;3,827977701;3,831576405;3,836976374;3,840207942;3,851397963;3,853180106;3,853180106;3,853180106
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;Emissions naturelles;V0.2.8.2;Autres émissions naturelles (volcans, foudre…);V0.2.8.2.3;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,02319658;0,02319658;0,133482383;0;0;0;0;0;0,133482383;0,133482383;0,266964767;0,266964767;0,901593327;0,127576083;0,02910288;0,042490931;0,080911296;0,056473316;0,104732332;0,139018108;0,156696711;0;0;0;0,02319658;0,02319658;0,046393159;0,046393159;0,092786319;0,139179478;0,069589739;0,046393159;0,046393159
